"parameter","value","status","note"
"tau_pension",0.16,"direct_legal_input","Total statutory contribution rate"
"funded_account_rate",0.115,"direct_legal_input","Credited to the individual retirement account"
"payg_notional_account_rate",0.13,"direct_legal_input","Credited to the PAYG notional account"
"payg_refund_rate",1,"direct_legal_input","Full nominal refund when ineligible"
"payg_refund_annual_return",0,"direct_legal_input","Refund adjusted only for inflation"
"replacement_rate",0.65,"direct_legal_input","Approximate statutory rate at one minimum wage"
"A_informal",0.08215,"calibrated_to_comparable_moment","Matches the long-run formality anchor"
"payg_eligibility_intercept",-8.79,"calibrated_to_comparable_moment","Matches the contributory-eligibility proxy"
"payg_eligibility_slope",15,"retained_shape_normalization","The source does not identify a logistic slope"
"payg_benefit_multiplier",2.9,"selected_for_interior_branch","The source does not identify the 40-year conversion"
"payg_minimum_benefit",0.05,"retained_internal_units","Minimum-wage units are not mapped to efficiency wages"
"g",0.173136405672765,"retained_structural_parameter","Wage growth is not balanced-growth productivity"
