"parameter","value","source","status"
"total contribution rate",0.16,"Law 2381, art. 23","direct legal input"
"PAYG common-fund credit",0.13,"Law 2381, art. 23","direct legal input"
"funded credit above threshold",0.132,"Law 2381, art. 23","direct legal input"
"fully funded account credit",0.16,"counterfactual design","counterfactual"
"pillar threshold in SMLMV",2.3,"Law 2381, arts. 3 and 19","direct legal input"
"replacement intercept",0.655,"Law 2381, art. 32","direct legal input"
"replacement slope per SMLMV",0.005,"Law 2381, art. 32","direct legal input"
"minimum contributory benefit in SMLMV",1,"Law 2381, art. 32","direct legal input"
"solidarity benefit in SMLMV",0.188660344827586,"DANE 2023 line / 2023 SMLMV","calibration ratio"
"solidarity target mass",0.126,"DANE 2023 extreme-poverty incidence","calibration proxy"
"PAYG long-period multiplier",1,"structural normalization; chi=2.9 is stress","not identified"
"net-debt anchor / annual GDP",0.55,"Law 2155 of 2021, art. 60","direct legal input"
"structural primary balance / GDP",0.002,"Law 2155 of 2021, art. 60","direct legal input"
"years per model period",40,"model timing","model normalization"
"public-debt persistence",0.25,"reduced-form transition calibration","provisional calibration"
"fiscal-wedge persistence",0.7,"reduced-form transition calibration","provisional calibration"
"domestic debt share",0,"central fiscal-incidence assumption","identifying assumption"
"fiscal-wedge lower bound",-0.2,"numerical policy domain","numerical bound"
"fiscal-wedge upper bound",0.9,"numerical policy domain","numerical bound"
